Date,Open,High,Low,Close,Volume
23-01-1995,2.3766,2.4545,2.3571,2.4471,53843200
24-01-1995,2.4545,2.4596,2.4156,2.4164,36739200
25-01-1995,2.4012,2.4253,2.3766,2.4058,52459200
26-01-1995,2.3719,2.3766,2.3279,2.333,80836800
27-01-1995,2.3427,2.3474,2.3279,2.333,58376000
30-01-1995,2.3427,2.3427,2.294,2.2987,55164800
31-01-1995,2.3038,2.3279,2.2695,2.3135,59945600
01-02-1995,2.3135,2.3669,2.2979,2.3038,66705600
02-02-1995,2.2889,2.3135,2.2745,2.2987,46312000
03-02-1995,2.3182,2.3571,2.3084,2.3427,60332800
06-02-1995,2.3427,2.3817,2.3427,2.3719,48345600
07-02-1995,2.3669,2.3817,2.3622,2.3766,33152000
08-02-1995,2.3864,2.4156,2.3766,2.4109,49150400
09-02-1995,2.4206,2.4351,2.4058,2.4109,42398400
10-02-1995,2.4156,2.4401,2.3961,2.4156,49862400
13-02-1995,2.4156,2.4448,2.4012,2.4156,38160000
14-02-1995,2.4206,2.4253,2.3961,2.4109,31121600
15-02-1995,2.3427,2.3914,2.3232,2.3669,147001600
16-02-1995,2.3719,2.3817,2.3474,2.3719,56744000
17-02-1995,2.3669,2.3719,2.3474,2.3525,37824000
21-02-1995,2.3571,2.3669,2.3182,2.3279,55392000
22-02-1995,2.3279,2.4156,2.3232,2.3961,60902400
23-02-1995,2.3864,2.4206,2.3766,2.4012,59939200
24-02-1995,2.3914,2.4109,2.3864,2.3864,34177600
27-02-1995,2.3914,2.4156,2.3817,2.4058,28592000
28-02-1995,2.4109,2.4643,2.4058,2.4545,52544000
01-03-1995,2.4596,2.4935,2.4448,2.4643,52032000
02-03-1995,2.4643,2.4838,2.4596,2.4838,26038400
03-03-1995,2.4791,2.4888,2.4596,2.4791,31776000
06-03-1995,2.4643,2.5079,2.4499,2.5056,45156800
07-03-1995,2.5079,2.5722,2.5032,2.5457,91750400
08-03-1995,2.5617,2.6735,2.5617,2.6688,140096000
09-03-1995,2.6688,2.6786,2.6053,2.6443,58238400
10-03-1995,2.6443,2.6786,2.5909,2.6712,44324800
13-03-1995,2.6735,2.7152,2.6591,2.6883,34550400
14-03-1995,2.7027,2.8052,2.698,2.7954,78643200
15-03-1995,2.7954,2.8001,2.7417,2.7467,57294400
16-03-1995,2.7273,2.7467,2.7125,2.7319,47510400
17-03-1995,2.7467,2.7954,2.7222,2.7249,59868800
20-03-1995,2.7319,2.7857,2.7273,2.7709,37772800
21-03-1995,2.776,2.7857,2.7417,2.7444,74772800
22-03-1995,2.7467,2.7662,2.7222,2.7639,52464000
